Style,Category,Artist,Title,Year,Image URL,Painting Info URL,Artist Info URL,Is painting,Face or body,Mean rating,Agreeableness,Anger,Anticipation,Arrogance,Disagreeableness,Disgust,Fear,Gratitude,Happiness,Humility,Love,Optimism,Pessimism,Regret,Sadness,Shame,Shyness,Surprise,Trust,Neutral
Renaissance Art,Early Renaissance,Donatello,David,1432,https://use2-uploads2.wikiart.org/images/donatello/david-1432(1).jpg,https://www.wikiart.org/en/donatello/david-1432,https://www.wikiart.org/en/donatello,no,face,1.2,0.1,0,0.2,0.2,0,0,0,0.1,0.1,0.2,0,0.1,0,0,0,0,0,0,0.5,0
Renaissance Art,Northern Renaissance,Jan van Eyck,The Arnolfini Wedding. The Portrait of Giovanni Arnolfini and his Wife Giovanna Cenami (The Arnolfini Marriage),1434,https://use2-uploads5.wikiart.org/images/jan-van-eyck/the-arnolfini-wedding-the-portrait-of-giovanni-arnolfini-and-his-wife-giovanna-cenami-the-1434.jpg,https://www.wikiart.org/en/jan-van-eyck/the-arnolfini-wedding-the-portrait-of-giovanni-arnolfini-and-his-wife-giovanna-cenami-the-1434,https://www.wikiart.org/en/jan-van-eyck,yes,face,1.24,0.051,0.017,0.119,0.102,0.017,0.034,0.068,0.051,0.508,0.153,0.559,0.102,0.034,0.017,0.068,0,0.034,0.068,0.39,0
Renaissance Art,Early Renaissance,Domenico Veneziano,Madonna and Child,1435,https://use2-uploads6.wikiart.org/images/domenico-veneziano/madonna-and-child.jpg,https://www.wikiart.org/en/domenico-veneziano/madonna-and-child,https://www.wikiart.org/en/domenico-veneziano,yes,face,0.58,0,0,0,0.083,0.083,0.083,0.083,0,0.167,0.167,0.583,0,0,0,0.083,0,0,0.083,0.5,0
Renaissance Art,Northern Renaissance,Rogier van der Weyden,Portrait of a Young Woman in a Pinned Hat,1435,https://use2-uploads2.wikiart.org/images/rogier-van-der-weyden/portrait-of-a-young-woman-in-a-pinned-hat-1435.jpg,https://www.wikiart.org/en/rogier-van-der-weyden/portrait-of-a-young-woman-in-a-pinned-hat-1435,https://www.wikiart.org/en/rogier-van-der-weyden,yes,face,1.36,0,0,0.091,0.091,0,0,0,0,0.545,0.273,0,0.182,0,0,0,0,0,0,0.455,0.091
Renaissance Art,Northern Renaissance,Konrad Witz,The Synagoge,1435,https://use2-uploads3.wikiart.org/images/konrad-witz/the-synagoge.jpg,https://www.wikiart.org/en/konrad-witz/the-synagoge,https://www.wikiart.org/en/konrad-witz,yes,face,0.85,0.077,0.077,0.308,0.077,0.077,0.154,0.154,0.077,0.308,0.154,0.154,0.154,0.154,0.077,0.308,0.077,0.077,0.154,0.308,0
Renaissance Art,Northern Renaissance,Jan van Eyck,Portrait of Giovanni Arnolfini,1435,https://use2-uploads0.wikiart.org/images/jan-van-eyck/portrait-of-giovanni-arnolfini-1435.jpg,https://www.wikiart.org/en/jan-van-eyck/portrait-of-giovanni-arnolfini-1435,https://www.wikiart.org/en/jan-van-eyck,yes,face,0.91,0.091,0.091,0.091,0.455,0,0.091,0,0,0.091,0.182,0,0.091,0.091,0,0,0,0.091,0.091,0.455,0
Renaissance Art,Northern Renaissance,Konrad Witz,St. Christopher,1435,https://use2-uploads5.wikiart.org/images/konrad-witz/st-christopher.jpg,https://www.wikiart.org/en/konrad-witz/st-christopher,https://www.wikiart.org/en/konrad-witz,yes,face,1.39,0.07,0.014,0.085,0.014,0.028,0.056,0.099,0.338,0.296,0.479,0.338,0.268,0.042,0,0.042,0,0.014,0.028,0.437,0
Renaissance Art,Northern Renaissance,Robert Campin,Virgin and Child in an Interior,1435,https://use2-uploads6.wikiart.org/images/robert-campin/virgin-and-child-in-an-interior.jpg,https://www.wikiart.org/en/robert-campin/virgin-and-child-in-an-interior,https://www.wikiart.org/en/robert-campin,yes,face,1.79,0,0,0,0,0,0,0,0.071,0.357,0.214,0.571,0.071,0,0,0,0,0,0,0.357,0
Renaissance Art,Northern Renaissance,Jan van Eyck,The Lucca Madonna,1436,https://use2-uploads5.wikiart.org/images/jan-van-eyck/the-lucca-madonna-1436.jpg,https://www.wikiart.org/en/jan-van-eyck/the-lucca-madonna-1436,https://www.wikiart.org/en/jan-van-eyck,yes,face,0.75,0.083,0,0.083,0,0,0,0.083,0.083,0.417,0.167,0.833,0.333,0,0.083,0,0,0,0,0.25,0
Renaissance Art,Early Renaissance,Paolo Uccello,Equestrian Monument of Sir John Hawkwood,1436,https://use2-uploads2.wikiart.org/images/paolo-uccello/equestrian-monument-of-sir-john-hawkwood-1436.jpg,https://www.wikiart.org/en/paolo-uccello/equestrian-monument-of-sir-john-hawkwood-1436,https://www.wikiart.org/en/paolo-uccello,yes,face,0.3,0,0,0.2,0.4,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0.6,0
Renaissance Art,Northern Renaissance,Robert Campin,Werl Altarpiece,1438,https://use2-uploads4.wikiart.org/images/robert-campin/werl-altarpiece-1438.jpg,https://www.wikiart.org/en/robert-campin/werl-altarpiece-1438,https://www.wikiart.org/en/robert-campin,yes,face,0.82,0,0,0.182,0.091,0.091,0,0,0.273,0.273,0.273,0.091,0.091,0.091,0.182,0.182,0.091,0,0.091,0.455,0
Renaissance Art,Northern Renaissance,Konrad Witz,St. Catherine and Mary Magdalene,1440,https://use2-uploads4.wikiart.org/images/konrad-witz/st-catherine-and-mary-magdalene.jpg,https://www.wikiart.org/en/konrad-witz/st-catherine-and-mary-magdalene,https://www.wikiart.org/en/konrad-witz,yes,face,2.3,0,0,0,0.1,0,0,0,0.2,0.4,0.6,0.4,0,0,0,0,0,0,0,0.6,0
Renaissance Art,Early Renaissance,Andrea del Castagno,Crucifixion and Saints,1441,https://use2-uploads3.wikiart.org/images/andrea-del-castagno/crucifixion-and-saints.jpg,https://www.wikiart.org/en/andrea-del-castagno/crucifixion-and-saints,https://www.wikiart.org/en/andrea-del-castagno,yes,face,0.8,0,0,0.1,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0,0.2,0.2,0.7,0.3,0,0.1,0.3,0
Renaissance Art,Early Renaissance,Pisanello,Portrait of Leonillo d&#39;Este,1441,https://use2-uploads7.wikiart.org/images/pisanello/portrait-of-leonillo-d-este.jpg,https://www.wikiart.org/en/pisanello/portrait-of-leonillo-d-este,https://www.wikiart.org/en/pisanello,yes,face,1.3,0.1,0,0.1,0,0,0.1,0,0.1,0.2,0.3,0.1,0.2,0,0.1,0,0,0.1,0,0.7,0
Renaissance Art,Northern Renaissance,Jan van Eyck,Virgin and Child with Saints and Donor,1441,https://use2-uploads8.wikiart.org/images/jan-van-eyck/virgin-and-child-with-saints-and-donor-1441.jpg,https://www.wikiart.org/en/jan-van-eyck/virgin-and-child-with-saints-and-donor-1441,https://www.wikiart.org/en/jan-van-eyck,yes,face,2.4,0,0,0.1,0,0,0,0,0.1,0.3,0.2,0.2,0.2,0,0,0,0,0.1,0.1,0.8,0
Renaissance Art,Early Renaissance,Filippo Lippi,Annunciation,1443,https://use2-uploads5.wikiart.org/images/filippo-lippi/annunciation.jpg,https://www.wikiart.org/en/filippo-lippi/annunciation,https://www.wikiart.org/en/filippo-lippi,yes,face,1.62,0.13,0.013,0.117,0.013,0,0,0.026,0.364,0.312,0.403,0.234,0.208,0,0.026,0.026,0,0.026,0.026,0.701,0
Renaissance Art,Northern Renaissance,Konrad Witz,The Miraculous Draught of Fishes (Peter&#39;s altar table),1444,https://use2-uploads3.wikiart.org/images/konrad-witz/the-miraculous-draught-of-fishes-peter-s-altar-table-1444.jpg,https://www.wikiart.org/en/konrad-witz/the-miraculous-draught-of-fishes-peter-s-altar-table-1444,https://www.wikiart.org/en/konrad-witz,yes,face,1.55,0,0,0.091,0.091,0,0,0,0.273,0.182,0.091,0,0.273,0.091,0,0,0,0,0,0.273,0
Renaissance Art,Early Renaissance,Domenico Veneziano,The Stigmatization of St. Francis,1445,https://use2-uploads3.wikiart.org/images/domenico-veneziano/the-stigmatization-of-st-francis.jpg,https://www.wikiart.org/en/domenico-veneziano/the-stigmatization-of-st-francis,https://www.wikiart.org/en/domenico-veneziano,yes,face,1.2,0.1,0,0.1,0,0,0,0.5,0.2,0.2,0.1,0,0,0.1,0.1,0.2,0.2,0,0,0.4,0
Renaissance Art,Early Renaissance,Filippo Lippi,Coronation of the Virgin,1445,https://use2-uploads4.wikiart.org/images/filippo-lippi/coronation-of-the-virgin-1445.jpg,https://www.wikiart.org/en/filippo-lippi/coronation-of-the-virgin-1445,https://www.wikiart.org/en/filippo-lippi,yes,face,1.67,0.083,0,0.083,0,0,0,0,0.167,0.25,0.333,0.167,0.25,0,0,0,0,0,0.083,0.833,0
Renaissance Art,Early Renaissance,Domenico Veneziano,St. John in the Desert,1445,https://use2-uploads1.wikiart.org/images/domenico-veneziano/st-john-in-the-desert.jpg,https://www.wikiart.org/en/domenico-veneziano/st-john-in-the-desert,https://www.wikiart.org/en/domenico-veneziano,yes,face,1.9,0,0,0.3,0,0,0,0,0.2,0.3,0.3,0,0.3,0,0,0,0,0,0.1,0.5,0
Renaissance Art,Northern Renaissance,Dirk Bouts,"Polyptych of the Virgin: The Annunciation, The Visitation, The Adoration Of The Angels and The Adoration Of The Kings",1445,https://use2-uploads0.wikiart.org/images/dirk-bouts/polyptych-of-the-virgin-the-annunciation-the-visitation-the-adoration-of-the-angels-and-the.jpg,https://www.wikiart.org/en/dirk-bouts/polyptych-of-the-virgin-the-annunciation-the-visitation-the-adoration-of-the-angels-and-the,https://www.wikiart.org/en/dirk-bouts,yes,face,1.4,0,0,0.1,0,0,0.1,0.1,0.3,0.4,0.4,0.3,0.1,0,0,0.1,0,0,0.1,0.6,0
Renaissance Art,Northern Renaissance,Jean Fouquet,"Portrait of Charles VII, King of France",1445,https://use2-uploads3.wikiart.org/images/jean-fouquet/portrait-of-charles-vii-king-of-france.jpg,https://www.wikiart.org/en/jean-fouquet/portrait-of-charles-vii-king-of-france,https://www.wikiart.org/en/jean-fouquet,yes,face,0.7,0.1,0,0,0.2,0.1,0.2,0,0.1,0.1,0,0,0,0.1,0,0.2,0,0,0.1,0.4,0
Renaissance Art,Early Renaissance,Pisanello,Apparition of the Virgin to Sts Anthony Abbot and George,1445,https://use2-uploads0.wikiart.org/images/pisanello/apparition-of-the-virgin-to-sts-anthony-abbot-and-george.jpg,https://www.wikiart.org/en/pisanello/apparition-of-the-virgin-to-sts-anthony-abbot-and-george,https://www.wikiart.org/en/pisanello,yes,face,1.43,0,0,0,0,0.071,0,0,0.214,0.214,0.214,0.429,0.214,0.071,0.071,0,0,0,0.071,0.429,0
Renaissance Art,Early Renaissance,Paolo Uccello,Creation of Adam,1445,https://use2-uploads5.wikiart.org/images/paolo-uccello/creation-of-adam-1445.jpg,https://www.wikiart.org/en/paolo-uccello/creation-of-adam-1445,https://www.wikiart.org/en/paolo-uccello,yes,face,1.1,0.078,0.039,0.078,0.026,0.026,0.052,0.091,0.377,0.208,0.273,0.286,0.338,0.026,0.039,0,0.026,0.039,0.065,0.481,0
Renaissance Art,Northern Renaissance,Petrus Christus,Potrait of a Carthusian,1446,https://use2-uploads5.wikiart.org/images/petrus-christus/potrait-of-a-carthusian-1446.jpg,https://www.wikiart.org/en/petrus-christus/potrait-of-a-carthusian-1446,https://www.wikiart.org/en/petrus-christus,yes,face,1.14,0.043,0.014,0.057,0.057,0,0.029,0.029,0.043,0.171,0.4,0.029,0.1,0.071,0.029,0.071,0.014,0.029,0.057,0.457,0.014
Renaissance Art,Northern Renaissance,Petrus Christus,Edward Grimston,1446,https://use2-uploads6.wikiart.org/images/petrus-christus/edward-grimston-1446.jpg,https://www.wikiart.org/en/petrus-christus/edward-grimston-1446,https://www.wikiart.org/en/petrus-christus,yes,face,1.6,0.1,0,0.2,0.1,0.1,0,0,0.2,0.2,0.2,0,0.2,0,0,0.1,0,0,0.1,0.6,0.1
Renaissance Art,Early Renaissance,Andrea del Castagno,The Last Supper,1447,https://use2-uploads1.wikiart.org/images/andrea-del-castagno/the-last-supper-1447.jpg,https://www.wikiart.org/en/andrea-del-castagno/the-last-supper-1447,https://www.wikiart.org/en/andrea-del-castagno,yes,face,1.82,0.091,0,0.091,0.091,0.091,0.091,0.182,0.455,0.455,0.364,0.455,0.182,0.091,0.091,0.364,0.091,0.091,0.091,0.636,0
Renaissance Art,Early Renaissance,Filippo Lippi,Coronation of the Virgin,1447,https://use2-uploads4.wikiart.org/images/filippo-lippi/coronation-of-the-virgin-1447.jpg,https://www.wikiart.org/en/filippo-lippi/coronation-of-the-virgin-1447,https://www.wikiart.org/en/filippo-lippi,yes,face,1.27,0.091,0.091,0.091,0.273,0.091,0.091,0.091,0.455,0.182,0.091,0.182,0.091,0.091,0.091,0.182,0.091,0.091,0.091,0.636,0
Renaissance Art,Northern Renaissance,Petrus Christus,St. Eligius as a goldsmith showing a ring to the engaged couple,1449,https://use2-uploads8.wikiart.org/images/petrus-christus/st-eligius-as-a-goldsmith-showing-a-ring-to-the-engaged-couple-1449.jpg,https://www.wikiart.org/en/petrus-christus/st-eligius-as-a-goldsmith-showing-a-ring-to-the-engaged-couple-1449,https://www.wikiart.org/en/petrus-christus,yes,face,1.8,0.2,0,0.1,0.2,0,0,0,0.2,0.6,0.2,0.2,0,0,0,0,0,0,0,0.4,0
Renaissance Art,Early Renaissance,Pisanello,Portrait of a Princess of the House of Este,1449,https://use2-uploads1.wikiart.org/images/pisanello/portrait-of-a-princess-of-the-house-of-este-1449.jpg,https://www.wikiart.org/en/pisanello/portrait-of-a-princess-of-the-house-of-este-1449,https://www.wikiart.org/en/pisanello,yes,face,0.9,0,0.1,0.1,0.2,0,0,0,0,0.1,0.1,0,0.1,0,0,0.3,0,0,0.1,0.8,0
Renaissance Art,Early Renaissance,Benozzo Gozzoli,Madonna and Child Giving Blessings,1449,https://use2-uploads2.wikiart.org/images/benozzo-gozzoli/madonna-and-child-giving-blessings.jpg,https://www.wikiart.org/en/benozzo-gozzoli/madonna-and-child-giving-blessings,https://www.wikiart.org/en/benozzo-gozzoli,yes,face,1.33,0,0,0.167,0,0,0,0,0.167,0.583,0.333,0.5,0.167,0,0.083,0.083,0,0,0.083,0.5,0
Renaissance Art,Early Renaissance,Jacopo Bellini,The Madonna of Humility adored by Leonello d&#39;Este,1450,https://use2-uploads7.wikiart.org/images/jacopo-bellini/the-madonna-of-humility-adored-by-leonello-d-este.jpg,https://www.wikiart.org/en/jacopo-bellini/the-madonna-of-humility-adored-by-leonello-d-este,https://www.wikiart.org/en/jacopo-bellini,yes,face,1.8,0,0,0.1,0,0,0,0,0.1,0.5,0.4,0.5,0.2,0.1,0.1,0.1,0,0,0.1,0.8,0
Renaissance Art,Northern Renaissance,Rogier van der Weyden,Saint Ivo,1450,https://use2-uploads6.wikiart.org/images/rogier-van-der-weyden/saint-ivo-1450.jpg,https://www.wikiart.org/en/rogier-van-der-weyden/saint-ivo-1450,https://www.wikiart.org/en/rogier-van-der-weyden,yes,face,1.23,0,0,0.154,0,0,0,0.077,0.154,0.077,0.154,0,0,0,0.077,0.231,0,0,0,0.462,0
Renaissance Art,Early Renaissance,Andrea del Castagno,Dante Alighieri,1450,https://use2-uploads5.wikiart.org/images/andrea-del-castagno/dante-alighieri.jpg,https://www.wikiart.org/en/andrea-del-castagno/dante-alighieri,https://www.wikiart.org/en/andrea-del-castagno,yes,face,1,0.1,0,0.1,0.1,0,0.1,0,0.2,0,0.5,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0
Renaissance Art,Early Renaissance,Andrea del Castagno,Queen Esther,1450,https://use2-uploads2.wikiart.org/images/andrea-del-castagno/queen-esther.jpg,https://www.wikiart.org/en/andrea-del-castagno/queen-esther,https://www.wikiart.org/en/andrea-del-castagno,yes,face,0.8,0,0,0.1,0.1,0,0,0,0.2,0.3,0.1,0.1,0.2,0,0,0,0,0,0.1,0.6,0
Renaissance Art,Early Renaissance,Andrea del Castagno,Giovanni Boccaccio,1450,https://use2-uploads8.wikiart.org/images/andrea-del-castagno/giovanni-boccaccio.jpg,https://www.wikiart.org/en/andrea-del-castagno/giovanni-boccaccio,https://www.wikiart.org/en/andrea-del-castagno,yes,face,0.8,0,0.1,0,0.4,0,0.1,0,0.2,0.1,0.2,0,0.1,0.1,0,0,0,0,0.1,0.5,0
Renaissance Art,Northern Renaissance,Rogier van der Weyden,Braque Family Triptych,1450,https://use2-uploads4.wikiart.org/images/rogier-van-der-weyden/braque-family-triptych-1450(1).jpg,https://www.wikiart.org/en/rogier-van-der-weyden/braque-family-triptych-1450,https://www.wikiart.org/en/rogier-van-der-weyden,yes,face,1.42,0.083,0,0,0,0,0,0,0.25,0.333,0.417,0.167,0.083,0,0,0.083,0,0,0,0.583,0
Renaissance Art,Northern Renaissance,Jean Fouquet,Madonna and Child. Left Panel of Diptych de Melun,1450,https://use2-uploads4.wikiart.org/images/jean-fouquet/madonna-and-child-left-panel-of-diptych-de-melun.jpg,https://www.wikiart.org/en/jean-fouquet/madonna-and-child-left-panel-of-diptych-de-melun,https://www.wikiart.org/en/jean-fouquet,yes,face,1.08,0,0.083,0.167,0,0,0,0.167,0.167,0.083,0,0.5,0.083,0.167,0,0.083,0.083,0,0.333,0.25,0
Renaissance Art,Early Renaissance,Piero della Francesca,Baptism of Christ,1450,https://use2-uploads8.wikiart.org/images/piero-della-francesca/baptism-of-christ-1450(1).jpg,https://www.wikiart.org/en/piero-della-francesca/baptism-of-christ-1450,https://www.wikiart.org/en/piero-della-francesca,yes,face,0.7,0,0,0,0,0,0,0,0.5,0.3,0.5,0.1,0.3,0,0,0,0,0,0,0.7,0
Renaissance Art,Early Renaissance,Benozzo Gozzoli,"St. Francis Giving Away His Clothes, Vision of the Church Militant and Triumphant",1452,https://use2-uploads2.wikiart.org/images/benozzo-gozzoli/st-francis-giving-away-his-clothes-vision-of-the-church-militant-and-triumphant.jpg,https://www.wikiart.org/en/benozzo-gozzoli/st-francis-giving-away-his-clothes-vision-of-the-church-militant-and-triumphant,https://www.wikiart.org/en/benozzo-gozzoli,yes,face,1.18,0,0,0.091,0,0.091,0,0.091,0.182,0.364,0.182,0,0.091,0,0,0.182,0,0,0.091,0.455,0
Renaissance Art,Early Renaissance,Andrea Mantegna,Adoration of the Shepherds,1456,https://use2-uploads8.wikiart.org/images/andrea-mantegna/adoration-of-the-shepherds-1456.jpg,https://www.wikiart.org/en/andrea-mantegna/adoration-of-the-shepherds-1456,https://www.wikiart.org/en/andrea-mantegna,yes,face,1.31,0,0,0.231,0,0.154,0.077,0,0.154,0.462,0.308,0.077,0,0.077,0.077,0,0,0,0.154,0.538,0
Renaissance Art,Northern Renaissance,Petrus Christus,Isabella Of Portugal With St. Elizabeth,1458,https://use2-uploads4.wikiart.org/images/petrus-christus/isabel-of-portugal-with-st-elizabeth.jpg,https://www.wikiart.org/en/petrus-christus/isabel-of-portugal-with-st-elizabeth,https://www.wikiart.org/en/petrus-christus,yes,face,0.4,0.1,0,0.1,0.4,0,0,0,0.2,0.2,0.3,0.1,0,0,0,0.1,0,0.2,0,0.6,0
Renaissance Art,Early Renaissance,Filippo Lippi,The Adoration of the Infant Jesus,1459,https://use2-uploads4.wikiart.org/images/filippo-lippi/the-adoration-of-the-infant-jesus-1459.jpg,https://www.wikiart.org/en/filippo-lippi/the-adoration-of-the-infant-jesus-1459,https://www.wikiart.org/en/filippo-lippi,yes,face,1.3,0.2,0,0.1,0.2,0,0,0,0.4,0.4,0.3,0.7,0.1,0,0.1,0.1,0.1,0,0,0.7,0
Renaissance Art,Northern Renaissance,Jean Fouquet,Cases of noble men and women,1460,https://use2-uploads2.wikiart.org/images/jean-fouquet/cases-of-noble-men-and-women.jpg,https://www.wikiart.org/en/jean-fouquet/cases-of-noble-men-and-women,https://www.wikiart.org/en/jean-fouquet,yes,face,1.09,0,0.273,0.182,0.273,0.364,0,0.091,0,0.182,0.091,0,0.091,0.091,0,0,0,0,0.182,0.273,0
Renaissance Art,Early Renaissance,Filippo Lippi,The Martyrdom of St. Stephen,1460,https://use2-uploads7.wikiart.org/images/filippo-lippi/the-martyrdom-of-st-stephen-1460.jpg,https://www.wikiart.org/en/filippo-lippi/the-martyrdom-of-st-stephen-1460,https://www.wikiart.org/en/filippo-lippi,yes,face,1.8,0,0.2,0.2,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0,0,0,0.3,0,0,0.2,0.6,0
Renaissance Art,Northern Renaissance,Jean Fouquet,Battle of Fontenoy-en-Puisaye in 841,1460,https://use2-uploads1.wikiart.org/images/jean-fouquet/battle-of-fontenoy-en-puisaye-in-841.jpg,https://www.wikiart.org/en/jean-fouquet/battle-of-fontenoy-en-puisaye-in-841,https://www.wikiart.org/en/jean-fouquet,yes,face,0.5,0,0.6,0.1,0.1,0.6,0.2,0.5,0,0,0,0,0.1,0,0,0.2,0.2,0,0,0,0
Renaissance Art,Northern Renaissance,Rogier van der Weyden,Portrait of a Lady,1460,https://use2-uploads0.wikiart.org/images/rogier-van-der-weyden/portrait-of-a-lady-1460(1).jpg,https://www.wikiart.org/en/rogier-van-der-weyden/portrait-of-a-lady-1460,https://www.wikiart.org/en/rogier-van-der-weyden,yes,face,1.36,0.091,0,0.091,0,0,0,0,0.091,0.091,0.182,0,0,0.091,0,0.364,0,0.182,0,0.636,0
Renaissance Art,Early Renaissance,Piero della Francesca,Madonna del Parto,1460,https://use2-uploads3.wikiart.org/images/piero-della-francesca/the-madonna-del-parto-1460(1).jpg,https://www.wikiart.org/en/piero-della-francesca/madonna-del-parto-1,https://www.wikiart.org/en/piero-della-francesca,yes,face,1.09,0,0.091,0.182,0.455,0.182,0.091,0.091,0,0.273,0.091,0.182,0,0,0,0,0,0,0.091,0.364,0
Renaissance Art,Northern Renaissance,Petrus Christus,Madonna with the Child,1460,https://use2-uploads4.wikiart.org/images/petrus-christus/madonna-with-the-child-1460.jpg,https://www.wikiart.org/en/petrus-christus/madonna-with-the-child-1460,https://www.wikiart.org/en/petrus-christus,yes,face,1.09,0,0,0,0,0,0,0.091,0.091,0.091,0.091,0.636,0,0,0,0.091,0.091,0,0,0.455,0
Renaissance Art,Early Renaissance,Donatello,Judith and Holofernes,1460,https://use2-uploads6.wikiart.org/images/donatello/judith-and-holofernes-1460.jpg,https://www.wikiart.org/en/donatello/judith-and-holofernes-1460,https://www.wikiart.org/en/donatello,no,face,0.27,0,0.182,0,0.182,0,0.273,0.364,0,0,0,0.091,0.091,0.182,0.091,0.182,0.091,0,0,0.182,0
Renaissance Art,Early Renaissance,Paolo Uccello,The Hunt in the Forest,1460,https://use2-uploads6.wikiart.org/images/paolo-uccello/the-hunt-in-the-forest.jpg,https://www.wikiart.org/en/paolo-uccello/the-hunt-in-the-forest,https://www.wikiart.org/en/paolo-uccello,yes,face,-0.42,0,0.167,0.083,0.167,0.167,0.25,0.25,0,0,0,0,0.083,0.167,0.083,0.25,0.167,0,0,0.167,0
